Date,Symbol,Close
1/2/2019 16:00:00,MSFT,101.12
1/3/2019 16:00:00,MSFT,97.4
1/4/2019 16:00:00,MSFT,101.93
1/7/2019 16:00:00,MSFT,102.06
1/8/2019 16:00:00,MSFT,102.8
1/9/2019 16:00:00,MSFT,104.27
1/10/2019 16:00:00,MSFT,103.6
1/11/2019 16:00:00,MSFT,102.8
1/14/2019 16:00:00,MSFT,102.05
1/15/2019 16:00:00,MSFT,105.01
1/16/2019 16:00:00,MSFT,105.38
1/17/2019 16:00:00,MSFT,106.12
1/18/2019 16:00:00,MSFT,107.71
1/22/2019 16:00:00,MSFT,105.68
1/23/2019 16:00:00,MSFT,106.71
1/24/2019 16:00:00,MSFT,106.2
1/25/2019 16:00:00,MSFT,107.17
1/28/2019 16:00:00,MSFT,105.08
1/29/2019 16:00:00,MSFT,102.94
1/30/2019 16:00:00,MSFT,106.38
1/31/2019 16:00:00,MSFT,104.43
2/1/2019 16:00:00,MSFT,102.78
2/4/2019 16:00:00,MSFT,105.74
2/5/2019 16:00:00,MSFT,107.22
2/6/2019 16:00:00,MSFT,106.03
2/7/2019 16:00:00,MSFT,105.27
2/8/2019 16:00:00,MSFT,105.67
2/11/2019 16:00:00,MSFT,105.25
2/12/2019 16:00:00,MSFT,106.89
2/13/2019 16:00:00,MSFT,106.81
2/14/2019 16:00:00,MSFT,106.9
2/15/2019 16:00:00,MSFT,108.22
2/19/2019 16:00:00,MSFT,108.17
2/20/2019 16:00:00,MSFT,107.15
2/21/2019 16:00:00,MSFT,109.41
2/22/2019 16:00:00,MSFT,110.97
2/25/2019 16:00:00,MSFT,111.59
2/26/2019 16:00:00,MSFT,112.36
2/27/2019 16:00:00,MSFT,112.17
2/28/2019 16:00:00,MSFT,112.03
3/1/2019 16:00:00,MSFT,112.53
3/4/2019 16:00:00,MSFT,112.26
3/5/2019 16:00:00,MSFT,111.7
3/6/2019 16:00:00,MSFT,111.75
3/7/2019 16:00:00,MSFT,110.39
3/8/2019 16:00:00,MSFT,110.51
3/11/2019 16:00:00,MSFT,112.83
3/12/2019 16:00:00,MSFT,113.62
3/13/2019 16:00:00,MSFT,114.5
3/14/2019 16:00:00,MSFT,114.59
3/15/2019 16:00:00,MSFT,115.91
3/18/2019 16:00:00,MSFT,117.57
3/19/2019 16:00:00,MSFT,117.65
3/20/2019 16:00:00,MSFT,117.52
3/21/2019 16:00:00,MSFT,120.22
3/22/2019 16:00:00,MSFT,117.05
3/25/2019 16:00:00,MSFT,117.66
3/26/2019 16:00:00,MSFT,117.91
3/27/2019 16:00:00,MSFT,116.77
3/28/2019 16:00:00,MSFT,116.93
3/29/2019 16:00:00,MSFT,117.94
4/1/2019 16:00:00,MSFT,119.02
4/2/2019 16:00:00,MSFT,119.19
4/3/2019 16:00:00,MSFT,119.97
4/4/2019 16:00:00,MSFT,119.36
4/5/2019 16:00:00,MSFT,119.89
4/8/2019 16:00:00,MSFT,119.93
4/9/2019 16:00:00,MSFT,119.28
4/10/2019 16:00:00,MSFT,120.19
4/11/2019 16:00:00,MSFT,120.33
4/12/2019 16:00:00,MSFT,120.95
4/15/2019 16:00:00,MSFT,121.05
4/16/2019 16:00:00,MSFT,120.77
4/17/2019 16:00:00,MSFT,121.77
4/18/2019 16:00:00,MSFT,123.37
4/22/2019 16:00:00,MSFT,123.76
4/23/2019 16:00:00,MSFT,125.44
4/24/2019 16:00:00,MSFT,125.01
4/25/2019 16:00:00,MSFT,129.15
4/26/2019 16:00:00,MSFT,129.89
4/29/2019 16:00:00,MSFT,129.77
4/30/2019 16:00:00,MSFT,130.6
5/1/2019 16:00:00,MSFT,127.88
5/2/2019 16:00:00,MSFT,126.21
5/3/2019 16:00:00,MSFT,128.9
5/6/2019 16:00:00,MSFT,128.15
5/7/2019 16:00:00,MSFT,125.52
5/8/2019 16:00:00,MSFT,125.51
5/9/2019 16:00:00,MSFT,125.5
5/10/2019 16:00:00,MSFT,127.13
5/13/2019 16:00:00,MSFT,123.35
5/14/2019 16:00:00,MSFT,124.73
5/15/2019 16:00:00,MSFT,126.02
5/16/2019 16:00:00,MSFT,128.93
5/17/2019 16:00:00,MSFT,128.07
5/20/2019 16:00:00,MSFT,126.22
5/21/2019 16:00:00,MSFT,126.9
5/22/2019 16:00:00,MSFT,127.67
5/23/2019 16:00:00,MSFT,126.18
5/24/2019 16:00:00,MSFT,126.24
5/28/2019 16:00:00,MSFT,126.16
5/29/2019 16:00:00,MSFT,124.94
5/30/2019 16:00:00,MSFT,125.73
5/31/2019 16:00:00,MSFT,123.68
6/3/2019 16:00:00,MSFT,119.84
6/4/2019 16:00:00,MSFT,123.16
6/5/2019 16:00:00,MSFT,125.83
6/6/2019 16:00:00,MSFT,127.82
6/7/2019 16:00:00,MSFT,131.4
6/10/2019 16:00:00,MSFT,132.6
6/11/2019 16:00:00,MSFT,132.1
6/12/2019 16:00:00,MSFT,131.49
6/13/2019 16:00:00,MSFT,132.32
6/14/2019 16:00:00,MSFT,132.45
6/17/2019 16:00:00,MSFT,132.85
6/18/2019 16:00:00,MSFT,135.16
6/19/2019 16:00:00,MSFT,135.69
6/20/2019 16:00:00,MSFT,136.95
6/21/2019 16:00:00,MSFT,136.97
6/24/2019 16:00:00,MSFT,137.78
6/25/2019 16:00:00,MSFT,133.43
6/26/2019 16:00:00,MSFT,133.93
6/27/2019 16:00:00,MSFT,134.15
6/28/2019 16:00:00,MSFT,133.96
7/1/2019 16:00:00,MSFT,135.68
7/2/2019 16:00:00,MSFT,136.58
7/3/2019 13:00:00,MSFT,137.46
7/5/2019 16:00:00,MSFT,137.06
7/8/2019 16:00:00,MSFT,136.96
7/9/2019 16:00:00,MSFT,136.46
7/10/2019 16:00:00,MSFT,137.85
7/11/2019 16:00:00,MSFT,138.4
7/12/2019 16:00:00,MSFT,138.9
7/15/2019 16:00:00,MSFT,138.9
7/16/2019 16:00:00,MSFT,137.08
7/17/2019 16:00:00,MSFT,136.27
7/18/2019 16:00:00,MSFT,136.42
7/19/2019 16:00:00,MSFT,136.62
7/22/2019 16:00:00,MSFT,138.43
7/23/2019 16:00:00,MSFT,139.29
7/24/2019 16:00:00,MSFT,140.72
7/25/2019 16:00:00,MSFT,140.19
7/26/2019 16:00:00,MSFT,141.34
7/29/2019 16:00:00,MSFT,141.03
7/30/2019 16:00:00,MSFT,140.35
7/31/2019 16:00:00,MSFT,136.27
8/1/2019 16:00:00,MSFT,138.06
8/2/2019 16:00:00,MSFT,136.9
8/5/2019 16:00:00,MSFT,132.21
8/6/2019 16:00:00,MSFT,134.69
8/7/2019 16:00:00,MSFT,135.28
8/8/2019 16:00:00,MSFT,138.89
8/9/2019 16:00:00,MSFT,137.71
8/12/2019 16:00:00,MSFT,135.79
8/13/2019 16:00:00,MSFT,138.6
8/14/2019 16:00:00,MSFT,133.98
8/15/2019 16:00:00,MSFT,133.68
8/16/2019 16:00:00,MSFT,136.13
8/19/2019 16:00:00,MSFT,138.41
8/20/2019 16:00:00,MSFT,137.26
8/21/2019 16:00:00,MSFT,138.79
8/22/2019 16:00:00,MSFT,137.78
8/23/2019 16:00:00,MSFT,133.39
8/26/2019 16:00:00,MSFT,135.45
8/27/2019 16:00:00,MSFT,135.74
8/28/2019 16:00:00,MSFT,135.56
